"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"623",752845,"Ground Water","285580","3649675",40,"WATER",534495,2013-07-31,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"624",752845,"Ground Water","285580","3649675",40,"WATER",543673,2015-05-19,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"625",752846,"Ground Water","153479","0296667",1000,"WATER",534497,2013-08-29,NA,NA,NA,NA,NA,NA,3.99,TRUE
"626",752851,"Domestic Well","210135","0428938",875,"WATER",535259,2013-09-17,NA,NA,NA,NA,NA,NA,5.6,TRUE
"627",752851,"Domestic Well","210135","0428938",875,"WATER",535776,2013-11-18,NA,NA,NA,NA,NA,NA,7.76,TRUE
"628",752852,"Domestic Well","257066","0523342",NA,"WATER",535267,2013-09-17,NA,5.9,NA,NA,NA,NA,9.1,TRUE
"629",752854,"Irrigation","8770","0240980",49,"WATER",534554,2013-04-30,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"630",752855,"Ground Water","11105","9060574",31,"WATER",535202,2013-09-23,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"631",752855,"Ground Water","11105","9060574",31,"WATER",536185,2013-09-23,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"632",752855,"Ground Water","11105","9060574",31,"WATER",553688,2016-09-02,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"633",752862,"Ground Water","80343","0911558",NA,"WATER",535277,2013-09-26,NA,NA,NA,NA,NA,NA,0.001,TRUE
"634",752863,"Domestic Well","73419","9065317",280,"WATER",534659,2013-05-09,NA,NA,NA,NA,NA,NA,0.00286,TRUE
"635",752864,"Irrigation","10946","0059104",37,"WATER",534661,2013-09-16,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"636",752864,"Irrigation","10946","0059104",37,"WATER",534677,2013-09-16,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"637",752864,"Irrigation","10946","0059104",37,"WATER",550060,2016-05-20,NA,NA,NA,NA,NA,NA,0.0023,TRUE
"638",752866,"Groundwater","217359","0444371A",80,"WATER",534697,2013-08-27,NA,NA,NA,NA,NA,NA,0.00062,TRUE
"639",752867,"Ground Water","63903","0544689B",NA,"WATER",534701,2013-09-09,NA,NA,NA,NA,NA,NA,0.00042,TRUE
"640",752867,"Ground Water","63903","0544689B",NA,"WATER",544472,2015-04-29,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"641",752868,"Ground Water","63904","0544689A",70,"WATER",534705,2013-09-09,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"642",752868,"Ground Water","63904","0544689A",70,"WATER",544424,2015-04-29,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"643",752869,"Ground Water","257372","0523839",940,"WATER",535072,2013-09-05,NA,NA,NA,NA,NA,NA,13.8,TRUE
"644",752888,"Domestic Well","43621","9064348",123,"WATER",534825,2013-06-24,NA,NA,NA,NA,NA,NA,8e-04,TRUE
